Sender,receiver,time_window_start,time_window_end,daily_balance_change,cumulative_balance,currency
DE77193919112673928344,DE09167966841644539374,2021-06-02 05:30:00,2021-06-03 05:30:00,-88533.6347,-98533.5698,EUR
FR5875918640140818391314958,DE09167966841644539374,2021-06-02 05:30:00,2021-06-03 05:30:00,-9999.9351,-98533.5698,EUR
GB95JIUW19057241869545,DE15896285095416080726,2021-01-03 05:30:00,2021-01-04 05:30:00,-82587.76462838451,-82587.76462838451,EUR
GB35AZDS39191126739283,DE22852399214609282672,2021-01-03 05:30:00,2021-01-04 05:30:00,-811.5851955141588,-811.5851955141588,EUR
DE09870639371250873038,DE23131082947686970532,2021-01-02 05:30:00,2021-01-03 05:30:00,-171.1341854292615,-171.1341854292615,EUR
DE77193919112673928344,DE23131082947686970532,2021-03-06 05:30:00,2021-03-07 05:30:00,-74797.4808,-74968.61498542926,EUR
GB83MWOM59951148842320,DE23354228113293184930,2021-01-03 05:30:00,2021-01-04 05:30:00,-92025.38212369673,-92025.38212369673,EUR
FR9373928344190572418695454,DE28594941541915396201,2021-02-21 05:30:00,2021-02-22 05:30:00,-71380.5007,-71380.5007,EUR
DE22852399214609282672,DE28769442194283747591,2021-01-13 05:30:00,2021-01-14 05:30:00,-84210.2831,-84210.2831,EUR
GB41QLOD12104642412552,DE31588353398135414685,2021-05-12 05:30:00,2021-05-13 05:30:00,-49307.891,-49307.891,EUR
GB03FIGW90406560954159,DE35772196730974809855,2021-05-02 05:30:00,2021-05-03 05:30:00,-99906.5363,-99906.5363,EUR
DE39366421518398884765,DE36681676155117771996,2021-01-05 05:30:00,2021-01-06 05:30:00,-21114.639481475857,-21114.639481475857,EUR
DE39366421518398884765,DE36681676155117771996,2021-01-06 05:30:00,2021-01-07 05:30:00,-47574.69846491228,-68689.33794638814,EUR
DE15896285095416080726,DE36681676155117771996,2021-02-14 05:30:00,2021-02-15 05:30:00,-92823.516,-161512.85394638815,EUR
GB82GLCT20327785811877,DE36681676155117771996,2021-03-31 05:30:00,2021-04-01 05:30:00,-59123.1177,-220635.97164638815,EUR
GB24LBSK41608072684711,DE39366421518398884765,2021-01-02 05:30:00,2021-01-03 05:30:00,-51376.26014361485,-51376.26014361485,EUR
NL73QLRU1042042324,DE39366421518398884765,2021-01-06 05:30:00,2021-01-07 05:30:00,-29135.62411095306,-80511.8842545679,EUR
DE15896285095416080726,DE39366421518398884765,2021-04-24 05:30:00,2021-04-25 05:30:00,-81068.4668,-161580.3510545679,EUR
GB93UPNQ09836697694421,DE39366421518398884765,2021-05-02 05:30:00,2021-05-03 05:30:00,-49755.97,-211336.3210545679,EUR
GB19PHUG07475807805852,DE39366421518398884765,2021-05-12 05:30:00,2021-05-13 05:30:00,-79978.9339,-291315.2549545679,EUR
GB17TUNP87276133303015,DE42317090557680983669,2021-02-23 05:30:00,2021-02-24 05:30:00,-88558.3325,-88558.3325,EUR
DE36681676155117771996,DE42317090557680983669,2021-03-19 05:30:00,2021-03-20 05:30:00,-87220.6406,-175778.9731,EUR
GB36MEKV99244627910389,DE42317090557680983669,2021-05-24 05:30:00,2021-05-25 05:30:00,-5836.9345,-181615.9076,EUR
FR6941255273307475807805852,DE44847111710289346974,2021-01-17 05:30:00,2021-01-18 05:30:00,-56385.6,-56385.6,EUR
DE31588353398135414685,DE44847111710289346974,2021-02-02 05:30:00,2021-02-03 05:30:00,-2991.9319,-59377.5319,EUR
GB88CPDB28934697447354,DE45306993503114243904,2021-02-02 05:30:00,2021-02-03 05:30:00,-13224.9935,-13224.9935,EUR
NL62CPDB2893469744,DE45306993503114243904,2021-04-13 05:30:00,2021-04-14 05:30:00,-62840.8545,-76065.848,EUR
NL09OGWL4528337449,DE45306993503114243904,2021-05-02 05:30:00,2021-05-03 05:30:00,-29007.994,-105073.842,EUR
GB88CPDB28934697447354,DE45935285711210464241,2021-01-06 05:30:00,2021-01-07 05:30:00,-74077.88051209104,-74077.88051209104,EUR
DE28769442194283747591,DE45935285711210464241,2021-02-21 05:30:00,2021-02-22 05:30:00,-51034.4388,-125112.31931209104,EUR
DE36681676155117771996,DE48992576471930862107,2021-01-14 05:30:00,2021-01-15 05:30:00,-40035.5739,-40035.5739,EUR
GB93UPNQ09836697694421,DE48992576471930862107,2021-04-01 05:30:00,2021-04-02 05:30:00,-99307.7135,-139343.2874,EUR
GB53SGBR62107269553931,DE59255273307475807805,2021-03-25 05:30:00,2021-03-26 05:30:00,-16812.3632,-16812.3632,EUR
DE72625992446279103891,DE75519203277858118770,2021-02-17 05:30:00,2021-02-18 05:30:00,-16925.26,-16925.26,EUR
DE09870639371250873038,DE75519203277858118770,2021-03-25 05:30:00,2021-03-26 05:30:00,-69639.7498,-86565.0098,EUR
NL75SVKI5422715832,DE77193919112673928344,2021-05-18 05:30:00,2021-05-19 05:30:00,-78745.3411,-78745.3411,EUR
DE15896285095416080726,DE83082916577240815675,2021-01-02 05:30:00,2021-01-03 05:30:00,-56307.1015625,-56307.1015625,EUR
DE28769442194283747591,DE83269553931086167923,2021-01-05 05:30:00,2021-01-06 05:30:00,-46698.537,-46698.537,EUR
NL28SZUK8962850954,DE84042797283080256499,2021-02-23 05:30:00,2021-02-24 05:30:00,-20404.4219,-20404.4219,EUR
FR8396285095416080726847111,DE84042797283080256499,2021-04-11 05:30:00,2021-04-12 05:30:00,-62063.2363,-82467.6582,EUR
DE48992576471930862107,DE88589678727613330301,2021-01-06 05:30:00,2021-01-07 05:30:00,-33232.42879466545,-33232.42879466545,EUR
DE15896285095416080726,DE88589678727613330301,2021-03-30 05:30:00,2021-03-31 05:30:00,-79716.2587,-112948.68749466546,EUR
DE59255273307475807805,DE90785745655633831581,2021-06-02 05:30:00,2021-06-03 05:30:00,-63605.5623,-63605.5623,EUR
GB14THVD84930992576471,DE94676599511488423203,2021-01-03 05:30:00,2021-01-04 05:30:00,-32999.34432788051,-32999.34432788051,EUR
ES6915314327156383450966,ES1759500701968136267281,2021-01-05 05:30:00,2021-01-06 05:30:00,-15980.264981529961,-15980.264981529961,EUR
AT922958742594228736,ES4760093772928654971071,2021-01-02 05:30:00,2021-01-03 05:30:00,-44030.76472854433,-44030.76472854433,EUR
AT614525865786718049,ES8061314628576222062500,2021-01-06 05:30:00,2021-01-07 05:30:00,-10826.313532462407,-10826.313532462407,EUR
FI4067659951148842,FI1112508730382726,2021-01-05 05:30:00,2021-01-06 05:30:00,-19965.053972558086,-19965.053972558086,EUR
ES7702940454537092395387,FI1335283792830612,2021-01-01 05:30:00,2021-01-02 05:30:00,-57343.91669630157,-57343.91669630157,EUR
ES1693341018223789091147,FI1510014342767665,2021-01-04 05:30:00,2021-01-05 05:30:00,-72088.93692928857,-72088.93692928857,EUR
FI9689330970880542,FI2944862975109466,2021-01-03 05:30:00,2021-01-04 05:30:00,-41275.28227240398,-41275.28227240398,EUR
AT836336939647096974,FI3011113343325027,2021-01-03 05:30:00,2021-01-04 05:30:00,-28577.210022522522,-28577.210022522522,EUR
CH2633811040752657773,FI4473946105459538,2021-01-04 05:30:00,2021-01-05 05:30:00,-14801.22577347084,-14801.22577347084,EUR
CH1034870419831484847,FI5813064690280830,2021-01-04 05:30:00,2021-01-05 05:30:00,-1528.8762562418503,-1528.8762562418503,EUR
FI7752374129809079,FI6303584276668946,2021-01-03 05:30:00,2021-01-04 05:30:00,-9766.382079036273,-9766.382079036273,EUR
ES7205537567336587332488,FI6650039029426543,2021-01-06 05:30:00,2021-01-07 05:30:00,-49869.00084775787,-49869.00084775787,EUR
ES1671394403257331443035,FI7697500352494775,2021-01-03 05:30:00,2021-01-04 05:30:00,-13559.576332088667,-13559.576332088667,EUR
DE09167966841644539374,FR5875918640140818391314958,2021-04-16 05:30:00,2021-04-17 05:30:00,-53674.9766,-53674.9766,EUR
FR8971028934697447354528337,FR6267659951148842320351920,2021-01-17 05:30:00,2021-01-18 05:30:00,-72355.3625,-72355.3625,EUR
DE87473545283374494688,FR6267659951148842320351920,2021-02-22 05:30:00,2021-02-23 05:30:00,-10990.612,-83345.9745,EUR
GB41QLOD12104642412552,FR6532778581187701939191126,2021-01-04 05:30:00,2021-01-05 05:30:00,-6343.792600165955,-6343.792600165955,EUR
NL69GMMS7694421942,FR6703114243904065609541598,2021-01-07 05:30:00,2021-01-08 05:30:00,-47491.1953125,-47491.1953125,EUR
GB51SJEV83747591864014,FR6703114243904065609541598,2021-01-09 05:30:00,2021-01-10 05:30:00,-57279.2525,-104770.4478125,EUR
GB52OFVC96730974809855,FR6914403835422811329318493,2021-01-07 05:30:00,2021-01-08 05:30:00,-7217.252090134376,-7217.252090134376,EUR
GB14BJFP97283080256499,FR6914403835422811329318493,2021-05-02 05:30:00,2021-05-03 05:30:00,-7955.255,-15172.507090134375,EUR
FR6532778581187701939191126,FR6914403835422811329318493,2021-05-20 05:30:00,2021-05-21 05:30:00,-92435.3411,-107607.84819013438,EUR
GB30DPRX57456556338315,FR6941255273307475807805852,2021-03-12 05:30:00,2021-03-13 05:30:00,-12407.9811,-12407.9811,EUR
GB14BJFP97283080256499,FR7209925764719308621072695,2021-01-09 05:30:00,2021-01-10 05:30:00,-78540.6545,-78540.6545,EUR
GB41QLOD12104642412552,FR7209925764719308621072695,2021-05-07 05:30:00,2021-05-08 05:30:00,-6941.973,-85482.6275,EUR
NL56PCSS6306993503,FR7316761551177719963069935,2021-01-14 05:30:00,2021-01-15 05:30:00,-2833.9843,-2833.9843,EUR
DE16190572418695454227,FR7316761551177719963069935,2021-04-11 05:30:00,2021-04-12 05:30:00,-79007.1249,-81841.10919999999,EUR
NL60UXDS1126739283,FR7868098366976944219428374,2021-01-01 05:30:00,2021-01-02 05:30:00,-87560.41856463205,-87560.41856463205,EUR
DE28769442194283747591,FR7868098366976944219428374,2021-01-02 05:30:00,2021-01-03 05:30:00,-105753.1917959522,-193313.61036058425,EUR
DE83269553931086167923,FR7868098366976944219428374,2021-01-05 05:30:00,2021-01-06 05:30:00,-109079.48469868707,-302393.0950592713,EUR
NL28SZUK8962850954,FR8396285095416080726847111,2021-04-14 05:30:00,2021-04-15 05:30:00,-40035.5739,-40035.5739,EUR
DE28769442194283747591,FR8544946889352857112104642,2021-01-02 05:30:00,2021-01-03 05:30:00,-57126.8125,-57126.8125,EUR
DE45935285711210464241,FR8544946889352857112104642,2021-05-03 05:30:00,2021-05-04 05:30:00,-66598.8206,-123725.6331,EUR
GB30DPRX57456556338315,FR9373928344190572418695454,2021-03-28 05:30:00,2021-03-29 05:30:00,-45912.8431,-45912.8431,EUR
DE16190572418695454227,FR9422715832858104204232468,2021-03-19 05:30:00,2021-03-20 05:30:00,-2401.3666,-2401.3666,EUR
FR7209925764719308621072695,FR9422715832858104204232468,2021-03-31 05:30:00,2021-04-01 05:30:00,-55580.4129,-57981.779500000004,EUR
FR6914403835422811329318493,FR9422715832858104204232468,2021-05-27 05:30:00,2021-05-28 05:30:00,-88146.5821,-146128.3616,EUR
NL86QGLJ2281132931,GB03FIGW90406560954159,2021-03-23 05:30:00,2021-03-24 05:30:00,-25688.251,-25688.251,EUR
NL79ORKQ1187701939,GB14THVD84930992576471,2021-01-14 05:30:00,2021-01-15 05:30:00,-77604.8601,-77604.8601,EUR
FR9053931086167923317090557,GB17TUNP87276133303015,2021-03-21 05:30:00,2021-03-22 05:30:00,-35403.7867,-35403.7867,EUR
GB17TUNP87276133303015,GB24LBSK41608072684711,2021-04-01 05:30:00,2021-04-02 05:30:00,-34848.7324,-34848.7324,EUR
DE48992576471930862107,GB24LBSK41608072684711,2021-05-08 05:30:00,2021-05-09 05:30:00,-21812.8964,-56661.628800000006,EUR
NL72CVMA8072684711,GB30DPRX57456556338315,2021-01-05 05:30:00,2021-01-06 05:30:00,-69169.43012091039,-69169.43012091039,EUR
NL62CPDB2893469744,GB35AZDS39191126739283,2021-05-06 05:30:00,2021-05-07 05:30:00,-60625.5197,-60625.5197,EUR
DE28769442194283747591,GB35AZDS39191126739283,2021-06-19 05:30:00,2021-06-20 05:30:00,-33755.2552,-94380.77489999999,EUR
NL64VYXQ3747591864,GB37LXER33744946889352,2021-02-13 05:30:00,2021-02-14 05:30:00,-72269.3107,-72269.3107,EUR
DE16190572418695454227,GB41QLOD12104642412552,2021-01-01 05:30:00,2021-01-02 05:30:00,-31083.32592460882,-31083.32592460882,EUR
GB14BJFP97283080256499,GB41QLOD12104642412552,2021-06-02 05:30:00,2021-06-03 05:30:00,-14540.9826,-45624.308524608816,EUR
FR5875918640140818391314958,GB51SJEV83747591864014,2021-03-13 05:30:00,2021-03-14 05:30:00,-82973.38,-82973.38,EUR
DE75519203277858118770,GB51SJEV83747591864014,2021-05-30 05:30:00,2021-05-31 05:30:00,-52957.7003,-135931.0803,EUR
NL59NQWD6761551177,GB52OFVC96730974809855,2021-01-05 05:30:00,2021-01-06 05:30:00,-48082.234375,-48082.234375,EUR
FR6941255273307475807805852,GB52OFVC96730974809855,2021-01-17 05:30:00,2021-01-18 05:30:00,-62588.5162,-110670.750575,EUR
NL07RJSH0992576471,GB53SGBR62107269553931,2021-04-14 05:30:00,2021-04-15 05:30:00,-61868.6299,-61868.6299,EUR
FR6267659951148842320351920,GB53SGBR62107269553931,2021-05-02 05:30:00,2021-05-03 05:30:00,-62459.3991,-124328.02900000001,EUR
FR8971028934697447354528337,GB53SGBR62107269553931,2021-05-30 05:30:00,2021-05-31 05:30:00,-37923.8839,-162251.9129,EUR
NL79ORKQ1187701939,GB56BYQM16792331709055,2021-03-21 05:30:00,2021-03-22 05:30:00,-84320.4668,-84320.4668,EUR
DE87473545283374494688,GB68JEWG24681676155117,2021-01-04 05:30:00,2021-01-05 05:30:00,-67062.78153153154,-67062.78153153154,EUR
NL35VHTG1086167923,GB74PPCS96306993503114,2021-01-05 05:30:00,2021-01-06 05:30:00,-31905.39799668089,-31905.39799668089,EUR
NL56PCSS6306993503,GB74PPCS96306993503114,2021-02-28 05:30:00,2021-03-01 05:30:00,-70175.4855,-102080.88349668088,EUR
NL72CVMA8072684711,GB74PPCS96306993503114,2021-03-09 05:30:00,2021-03-10 05:30:00,-35296.1354,-137377.01889668088,EUR
GB24LBSK41608072684711,GB83MWOM59951148842320,2021-04-11 05:30:00,2021-04-12 05:30:00,-84162.8167,-84162.8167,EUR
FR7868098366976944219428374,GB88CPDB28934697447354,2021-01-17 05:30:00,2021-01-18 05:30:00,-62063.2363,-62063.2363,EUR
DE45306993503114243904,GB88CPDB28934697447354,2021-02-09 05:30:00,2021-02-10 05:30:00,-20699.6802,-82762.91649999999,EUR
FR9053931086167923317090557,GB93UPNQ09836697694421,2021-03-25 05:30:00,2021-03-26 05:30:00,-83447.6722,-83447.6722,EUR
DE75519203277858118770,NL06DCVI2439040656,2021-04-13 05:30:00,2021-04-14 05:30:00,-53674.9766,-53674.9766,EUR
NL86QGLJ2281132931,NL07RJSH0992576471,2021-03-02 05:30:00,2021-03-03 05:30:00,-11830.4272,-11830.4272,EUR
DE25158328581042042324,NL07RJSH0992576471,2021-05-20 05:30:00,2021-05-21 05:30:00,-75281.7358,-87112.163,EUR
NL20FHFU0351920327,NL09OGWL4528337449,2021-06-28 05:30:00,2021-06-29 05:30:00,-44880.4628,-44880.4628,EUR
FR8971028934697447354528337,NL16MWOM5995114884,2021-01-17 05:30:00,2021-01-18 05:30:00,-39849.369,-39849.369,EUR
GB34HTSZ21460928267258,NL16MWOM5995114884,2021-02-17 05:30:00,2021-02-18 05:30:00,-37869.836,-77719.205,EUR
DE59255273307475807805,NL16MWOM5995114884,2021-03-22 05:30:00,2021-03-23 05:30:00,-18662.6217,-96381.8267,EUR
GB56BYQM16792331709055,NL20FHFU0351920327,2021-01-03 05:30:00,2021-01-04 05:30:00,-34718.4921875,-34718.4921875,EUR
NL62CPDB2893469744,NL20FHFU0351920327,2021-03-14 05:30:00,2021-03-15 05:30:00,-37412.26,-72130.75218750001,EUR
GB14THVD84930992576471,NL20FHFU0351920327,2021-03-23 05:30:00,2021-03-24 05:30:00,-554.623,-72685.37518750002,EUR
GB35AZDS39191126739283,NL20FHFU0351920327,2021-05-12 05:30:00,2021-05-13 05:30:00,-76926.8584,-149612.2335875,EUR
NL06DCVI2439040656,NL28SGBR6210726955,2021-01-07 05:30:00,2021-01-08 05:30:00,-66393.2890625,-66393.2890625,EUR
FR8396285095416080726847111,NL28SGBR6210726955,2021-01-19 05:30:00,2021-01-20 05:30:00,-38628.661,-105021.9500625,EUR
DE84042797283080256499,NL28SZUK8962850954,2021-01-20 05:30:00,2021-01-21 05:30:00,-29797.9435,-29797.9435,EUR
DE09870639371250873038,NL28SZUK8962850954,2021-02-16 05:30:00,2021-02-17 05:30:00,-18425.6616,-48223.6051,EUR
DE09167966841644539374,NL28SZUK8962850954,2021-02-23 05:30:00,2021-02-24 05:30:00,-61704.118,-109927.7231,EUR
FR8544946889352857112104642,NL29JIUW1905724186,2021-01-05 05:30:00,2021-01-06 05:30:00,-6442.917344268183,-6442.917344268183,EUR
DE45935285711210464241,NL29JIUW1905724186,2021-02-15 05:30:00,2021-02-16 05:30:00,-69436.8678,-75879.78514426819,EUR
DE45935285711210464241,NL29JIUW1905724186,2021-03-31 05:30:00,2021-04-01 05:30:00,-7899.4185,-83779.20364426819,EUR
GB35AZDS39191126739283,NL29JIUW1905724186,2021-05-04 05:30:00,2021-05-05 05:30:00,-78271.6762,-162050.8798442682,EUR
DE28594941541915396201,NL35VHTG1086167923,2021-01-05 05:30:00,2021-01-06 05:30:00,-48014.98987058195,-48014.98987058195,EUR
NL72CVMA8072684711,NL56PCSS6306993503,2021-01-04 05:30:00,2021-01-05 05:30:00,-90835.6095538797,-90835.6095538797,EUR
GB30DPRX57456556338315,NL59NQWD6761551177,2021-01-06 05:30:00,2021-01-07 05:30:00,-31707.162109375,-31707.162109375,EUR
FR7868098366976944219428374,NL60UXDS1126739283,2021-05-15 05:30:00,2021-05-16 05:30:00,-81054.9349,-81054.9349,EUR
FR7868098366976944219428374,NL62CPDB2893469744,2021-02-01 05:30:00,2021-02-02 05:30:00,-75479.6172,-75479.6172,EUR
GB24JEFX71583285810420,NL64VYXQ3747591864,2021-01-19 05:30:00,2021-01-20 05:30:00,-64148.4743,-64148.4743,EUR
GB03FIGW90406560954159,NL64VYXQ3747591864,2021-01-21 05:30:00,2021-01-22 05:30:00,-66393.2886,-130541.7629,EUR
NL28SGBR6210726955,NL69GMMS7694421942,2021-03-09 05:30:00,2021-03-10 05:30:00,-93625.9677,-93625.9677,EUR
NL76AWSK4159814403,NL69GMMS7694421942,2021-05-28 05:30:00,2021-05-29 05:30:00,-74797.4808,-168423.4485,EUR
GB41QLOD12104642412552,NL72CVMA8072684711,2021-04-23 05:30:00,2021-04-24 05:30:00,-12484.2926,-12484.2926,EUR
GB24LBSK41608072684711,NL73QLRU1042042324,2021-02-24 05:30:00,2021-02-25 05:30:00,-29659.8908,-29659.8908,EUR
NL28SZUK8962850954,NL75SVKI5422715832,2021-01-03 05:30:00,2021-01-04 05:30:00,-52960.5152027027,-52960.5152027027,EUR
FR6703114243904065609541598,NL75SVKI5422715832,2021-01-17 05:30:00,2021-01-18 05:30:00,-86685.6431,-139646.1583027027,EUR
DE23131082947686970532,NL75SVKI5422715832,2021-02-13 05:30:00,2021-02-14 05:30:00,-64870.4412,-204516.5995027027,EUR
GB56BYQM16792331709055,NL79ORKQ1187701939,2021-03-21 05:30:00,2021-03-22 05:30:00,-65690.1293,-65690.1293,EUR
GB53SGBR62107269553931,NL86QGLJ2281132931,2021-01-14 05:30:00,2021-01-15 05:30:00,-19508.4356,-19508.4356,EUR
